<DOC>	<DOC>+BDTAG
.	TUR10-1081860
hiddetlenme	TUR10-0930720
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Güreşçilerimiz	TUR10-0620970
formda	TUR10-0895780
olmak	TUR10-0895780
zorundadır	TUR10-0877200
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Birkaç	TUR10-0096000
dakika	TUR10-0179350
içinde	TUR10-0359140
üçü	TUR10-0806020
üç	TUR10-0806020
koldan	TUR10-0453830
çalışarak	TUR10-0147850
hem	TUR10-0337480
yaşlı	TUR10-0840180
kadına	TUR10-0086000
,	TUR10-0820240
hem	TUR10-0337480
de	TUR10-0994850
küçük	TUR10-0499630
kıza	TUR10-0458280
fön	TUR10-0895880
çektiler	TUR10-0895880
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Emrah	TUR10-0000000
eder	TUR10-0448700
düştüm	TUR10-0008700
dile	TUR10-0205330
Bülbül	TUR10-0127800
figan	TUR10-0896030
eder	TUR10-0896030
güle	TUR10-0313120
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ama	TUR10-0031730
ben	TUR10-0092580
,	TUR10-0820240
bir	TUR10-0105580
kitap	TUR10-0463990
üzerine	TUR10-0811730
bir	TUR10-0105580
fikir	TUR10-0896050
edinmek	TUR10-0896050
istedim	TUR10-0048420
mi	TUR10-0544040
o	TUR10-0581470
kitabı	TUR10-0463990
kendim	TUR10-0440790
okurum	TUR10-0584280
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Düşüncelerimizi	TUR10-0230800
açık	TUR10-0005350
seçik	TUR10-0005350
ortaya	TUR10-1110630
koymak	TUR10-1110630
yerine	TUR10-0849870
fiskos	TUR10-0896170
etmeyi	TUR10-0896170
yeğleriz	TUR10-1181550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fırça	TUR10-0896310
gibi	TUR10-0896310
sert	TUR10-0679970
,	TUR10-0820240
gür	TUR10-0316810
saçları	TUR10-0653180
kırlaşıyor	TUR10-0452180
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bazı	TUR10-0087530
kişiler	TUR10-0932620
üstüme	TUR10-0088580
varmak	TUR10-0123610
için	TUR10-0359030
fırsat	TUR10-1027410
kolluyorlar	TUR10-1027410
;	TUR10-0579400
yalnız	TUR10-0355170
eski	TUR10-0253240
kamyonlarla	TUR10-0407790
katırlardan	TUR10-0428140
söz	TUR10-1140580
açarsam	TUR10-1140580
olabilir	TUR10-1102980
ki	TUR10-0459900
fırsat	TUR10-0896340
bilirler	TUR10-0896340
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fırtına	TUR10-0896400
gibi	TUR10-0896400
geldi	TUR10-1031900
gitti	TUR10-0298990
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Birden	TUR10-0040320
yaptığı	TUR10-0834590
gafı	TUR10-0281470
anlayıp	TUR10-0037550
suspus	TUR10-1143350
oldu	TUR10-1143350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
konuda	TUR10-0679150
size	TUR10-0697920
bütün	TUR10-0585370
ciddiyetimle	TUR10-0812890
garanti	TUR10-0896650
verebilirim	TUR10-0896650
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sizin	TUR10-0697870
gibi	TUR10-0297510
modern	TUR10-0144720
bir	TUR10-0105570
sosyete	TUR10-0704350
adamının	TUR10-0339670
böyle	TUR10-0120030
düşünmesini	TUR10-0231170
garip	TUR10-0896700
buluyorum	TUR10-0896700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İleride	TUR10-0367560
yolun	TUR10-0858800
daraldığını	TUR10-0240010
göre	TUR10-0571870
göre	TUR10-0571870
gaza	TUR10-0896840
yüklendi	TUR10-0896840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
En	TUR10-0246710
ufak	TUR10-0796440
sarsıntıda	TUR10-0667860
damlarınız	TUR10-0182560
kafanıza	TUR10-0397550
yıkılıyor	TUR10-0854170
,	TUR10-0820240
çoluk	TUR10-0259150
çocuk	TUR10-0259150
geberip	TUR10-0896960
gidiyorsunuz	TUR10-0896960
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Biri	TUR10-0107000
elbise	TUR10-1211210
askısı	TUR10-1211210
yapıyor	TUR10-1061090
,	TUR10-0820240
diğeri	TUR10-0203020
de	TUR10-0994850
yapılanları	TUR10-1061090
satıyor	TUR10-0668610
,	TUR10-0820240
böylece	TUR10-0120090
geçimlerini	TUR10-0897020
doğrultuyorlardı	TUR10-0897020
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Geçmiş	TUR10-0897070
olsun	TUR10-0897070
ağabey	TUR10-0010870
,	TUR10-0820240
ne	TUR10-0572460
oldu	TUR10-0405220
sana	TUR10-0662170
böyle	TUR10-0120030
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
ilişkinin	TUR10-0562310
nasıl	TUR10-0910830
olsa	TUR10-0910830
gelip	TUR10-0897220
geçici	TUR10-0897220
olduğunu	TUR10-0897220
biliyormuş	TUR10-0102440
gibi	TUR10-0297510
aldırışsızdır	TUR10-0368360
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Avrupa	TUR10-0945740
tiyatrosunda	TUR10-0778530
işveli	TUR10-0141020
gerdan	TUR10-0897400
kırışları	TUR10-0897400
,	TUR10-0820240
meşhur	TUR10-0008910
kantolarıyla	TUR10-0411010
,	TUR10-0820240
ortalığı	TUR10-0592340
kırıp	TUR10-1129540
geçirdiği	TUR10-1129540
zamanlar	TUR10-0651570
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İçeri	TUR10-0358420
giren	TUR10-0790330
polisin	TUR10-1232380
onları	TUR10-0581470
sorgulamaya	TUR10-0703280
bile	TUR10-0810040
gerek	TUR10-0724810
görmeden	TUR10-0305510
kurşuna	TUR10-0964650
dizdiğini	TUR10-0964650
söylediler	TUR10-0706650
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Doğrusu	TUR10-0272990
ya	TUR10-0822550
,	TUR10-0820240
açık	TUR10-0004510
havaya	TUR10-0004510
,	TUR10-0820240
yeni	TUR10-0848680
yüzlere	TUR10-0867710
,	TUR10-0820240
yeni	TUR10-0848680
sözcüklere	TUR10-0505340
gereksinme	TUR10-0897480
duyuyorum	TUR10-0897480
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Elinden	TUR10-0240850
geleni	TUR10-0289330
geri	TUR10-0293750
koma	TUR10-0469940
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Diğer	TUR10-0203010
dükkânların	TUR10-0517440
satılmayan	TUR10-0668610
mallarını	TUR10-0521520
ben	TUR10-0092580
sanki	TUR10-0663530
ne	TUR10-0572460
yapayım	TUR10-0834590
diye	TUR10-0211490
gevrek	TUR10-0897640
gevrek	TUR10-0897640
gülerek	TUR10-0897640
kendi	TUR10-0440790
kendine	TUR10-0440790
hak	TUR10-0898460
verirdi	TUR10-0898460
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Seher	TUR10-0673710
hep	TUR10-0084000
Bayram'ın	TUR10-0000000
sinirine	TUR10-1137180
dokunanlarla	TUR10-1137180
gezip	TUR10-0897680
tozdu	TUR10-0897680
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Birdenbire	TUR10-0040320
sustu	TUR10-0713640
ve	TUR10-0816400
göğüs	TUR10-0897750
geçirdi	TUR10-0897750
,	TUR10-0820240
hüzün	TUR10-0352290
,	TUR10-0820240
dertlenme	TUR10-0756190
derecesini	TUR10-0194860
bulmuştu	TUR10-1242430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İşte	TUR10-0386610
bu	TUR10-0120760
iki	TUR10-0364810
adam	TUR10-0932620
bir	TUR10-0105910
aralık	TUR10-0105910
göz	TUR10-0897820
göze	TUR10-0897820
geldiler	TUR10-0897820
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Haksızlık	TUR10-0917570
,	TUR10-0820240
rüşvet	TUR10-0046850
,	TUR10-0820240
gözle	TUR10-0308060
görülür	TUR10-0305720
,	TUR10-0820240
elle	TUR10-0894550
tutulur	TUR10-0894550
hâle	TUR10-0322340
gelmişti	TUR10-0290440
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Komisyonda	TUR10-0246850
faiz	TUR10-0263190
konusunu	TUR10-0679150
da	TUR10-0994850
gündeme	TUR10-0897960
getireceğiz	TUR10-0897960
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-1106560
yazık	TUR10-1106560
ki	TUR10-1106560
geçtiğimiz	TUR10-0792170
yılda	TUR10-0676860
,	TUR10-0820240
göğsümüzü	TUR10-0897760
gere	TUR10-0897760
gere	TUR10-0294650
,	TUR10-0820240
işte	TUR10-0386590
zafer	TUR10-0801120
diyebileceğimiz	TUR10-1242470
pek	TUR10-0621150
az	TUR10-1247530
başarımız	TUR10-0081020
olmuştur	TUR10-0405220
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Göğüs	TUR10-0898230
bağır	TUR10-0898230
açık	TUR10-0898230
,	TUR10-0820240
ellerinde	TUR10-0240850
pankartlarla	TUR10-0612500
yürütüyorlar	TUR10-0299070
bu	TUR10-0120760
savaşı	TUR10-0669020
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hele	TUR10-0338200
günümü	TUR10-0687850
doldurup	TUR10-0216850
çıkayım	TUR10-1242820
,	TUR10-0820240
ben	TUR10-0092580
ona	TUR10-0581470
gösteririm	TUR10-0307160
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Barın	TUR10-0076860
bütün	TUR10-0585370
gürültüsünü	TUR10-0898350
bastıran	TUR10-0898350
kahkahaları	TUR10-0399060
bundan	TUR10-0124540
sonra	TUR10-0702490
başladı	TUR10-0834530
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dost	TUR10-0219200
bildiğim	TUR10-0104510
insan	TUR10-0932620
hakikatsiz	TUR10-0898530
çıktı	TUR10-0898530
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Büyük	TUR10-0128880
kızı	TUR10-1231620
kocaya	TUR10-0465480
zaman	TUR10-0869520
küçükleri	TUR10-0499630
on	TUR10-1237500
iki	TUR10-1237500
dönüm	TUR10-0221830
tarlanın	TUR10-0747580
hakkından	TUR10-0898600
gelecek	TUR10-0898600
kadar	TUR10-0187930
yetişkindiler	TUR10-0361490
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
yemeğin	TUR10-0513570
hakkını	TUR10-0898460
vermişsin	TUR10-0898460
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Müdür	TUR10-0208420
onu	TUR10-0581470
haklı	TUR10-0898640
buldu	TUR10-0898640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gücenik	TUR10-0503640
,	TUR10-0820240
haksızlığa	TUR10-0898670
uğramaktan	TUR10-0898670
bezmiş	TUR10-0887540
gibi	TUR10-0297510
susuyor	TUR10-0713640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Annesinin	TUR10-0813510
bir	TUR10-1222130
şeyden	TUR10-1222130
haberi	TUR10-0898760
olmadığı	TUR10-0898760
için	TUR10-0359040
hemen	TUR10-0338840
söze	TUR10-1092210
karıştı	TUR10-1092210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Artık	TUR10-0371210
ne	TUR10-0572500
hacet	TUR10-0898800
dilese	TUR10-0898800
,	TUR10-0820240
ne	TUR10-0572500
murat	TUR10-0205320
etse	TUR10-0205320
oluyor	TUR10-0585900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Lakin	TUR10-0031730
zora	TUR10-0877170
hacet	TUR10-0898820
kalmadı	TUR10-0898820
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kişi	TUR10-0932620
haddini	TUR10-0898870
bilmeli	TUR10-0898870
de	TUR10-0994850
kendine	TUR10-0440770
yakışacak	TUR10-0827040
sevdalara	TUR10-0053850
düşmeli	TUR10-0008700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gürültü	TUR10-1041770
etmeden	TUR10-1041770
,	TUR10-0820240
iz	TUR10-0850370
bırakmadan	TUR10-0850370
,	TUR10-0820240
hadise	TUR10-0898890
çıkarmadan	TUR10-0898890
çalışıyorlar	TUR10-0147850
,	TUR10-0820240
arılar	TUR10-0044290
gibi	TUR10-0297510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ama	TUR10-0031730
nasıl	TUR10-0572510
kurtulacaktı	TUR10-0494180
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İhtiyar	TUR10-0364140
bunak	TUR10-0529490
,	TUR10-0820240
hâline	TUR10-0898970
bakmıyor	TUR10-0898970
da	TUR10-0994850
neler	TUR10-0572490
söylüyor	TUR10-0191150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Adamcağız	TUR10-0007450
hem	TUR10-0337480
hapis	TUR10-0899030
yatacak	TUR10-0899030
hem	TUR10-0337480
dayak	TUR10-0703040
yiyecek	TUR10-0513570
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Suç	TUR10-0143900
oranını	TUR10-0589630
düşürmek	TUR10-0452470
için	TUR10-0359030
emniyet	TUR10-0048870
harekete	TUR10-0899130
geçti	TUR10-0899130
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gençler	TUR10-0000000
,	TUR10-0820240
kendi	TUR10-0440770
cinslerinden	TUR10-0141520
riyakârlara	TUR10-0647990
karşı	TUR10-0472950
harp	TUR10-0899175
açmalıdırlar	TUR10-0006490
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İnsan	TUR10-0932620
sevdiği	TUR10-0682540
birini	TUR10-0107000
tükenmiş	TUR10-0899255
görmek	TUR10-0672700
istemez	TUR10-0048420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Adamları	TUR10-0339670
aracılığıyla	TUR10-0815420
bu	TUR10-0120760
konuda	TUR10-0679150
hatırı	TUR10-0899290
sayılır	TUR10-0899290
bir	TUR10-0105580
külliyata	TUR10-0501520
sahip	TUR10-0656970
oldu	TUR10-0656970
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tüfeğini	TUR10-0999600
omzuna	TUR10-0167790
vurup	TUR10-0375720
çapraz	TUR10-0150710
fişeklerini	TUR10-0275360
kuşanan	TUR10-0050960
bir	TUR10-0105580
kişinin	TUR10-0932620
ölümü	TUR10-0601900
hatırına	TUR10-0899310
getirmesi	TUR10-0899310
garip	TUR10-0283600
olmaz	TUR10-0553220
mı	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Herkes	TUR10-0545590
içten	TUR10-0131870
görünüyor	TUR10-0306160
,	TUR10-0820240
hatta	TUR10-0178930
yıldızımın	TUR10-0071410
hiç	TUR10-0343500
barışmadığı	TUR10-0077810
insanlar	TUR10-0932620
bile	TUR10-0810040
dostça	TUR10-0219270
elimi	TUR10-0893500
sıkıyor	TUR10-0893500
,	TUR10-0820240
hatırımı	TUR10-0899330
soruyorlar	TUR10-0899330
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hava	TUR10-0253010
iyice	TUR10-0686070
kararmış	TUR10-0417650
,	TUR10-0820240
caddenin	TUR10-1212990
bütün	TUR10-0585370
elektrikleri	TUR10-0241650
yanmıştı	TUR10-0791240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yine	TUR10-0106250
de	TUR10-0994850
bir	TUR10-0105580
öğretmenin	TUR10-0551790
iyi	TUR10-0655680
niyetinin	TUR10-0655680
,	TUR10-0820240
ilgisinin	TUR10-0204140
böyle	TUR10-0120040
havada	TUR10-0332360
kalışından	TUR10-0404020
acı	TUR10-0917270
duydu	TUR10-0750060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Buna	TUR10-0124250
pek	TUR10-0621150
sevinmişti	TUR10-0907855
,	TUR10-0820240
oğlum	TUR10-0817130
memur	TUR10-0386890
oldu	TUR10-0585990
diye	TUR10-0211480
havalara	TUR10-0899430
uçuyordu	TUR10-0899430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Biz	TUR10-0110290
böyle	TUR10-0120030
hayal	TUR10-0899570
kurarken	TUR10-0899570
rüzgâr	TUR10-0651300
çıktı	TUR10-0220510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fransa'ya	TUR10-1194920
gitmeyi	TUR10-0299000
hayalinden	TUR10-0899620
geçirirdi	TUR10-0899620
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Altı	TUR10-0030440
yıllık	TUR10-0854220
ortaöğretim	TUR10-0592570
bitirmek	TUR10-0792170
,	TUR10-0820240
hayata	TUR10-0899650
atılmanın	TUR10-0899650
ilk	TUR10-0369150
koşulu	TUR10-0433430
sayılır	TUR10-0104550
orada	TUR10-0589400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Adi	TUR10-0008630
günlerde	TUR10-0314960
size	TUR10-0697920
öyle	TUR10-0607180
gelir	TUR10-0289940
ki	TUR10-0459900
bunlar	TUR10-0124640
hayata	TUR10-0131360
küsmüş	TUR10-0503640
insanlardır	TUR10-0932620
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aslına	TUR10-0049270
bakılırsa	TUR10-0894290
aktör	TUR10-0022510
olmayı	TUR10-0585900
rüyasında	TUR10-1205720
görse	TUR10-1205720
hayra	TUR10-0899860
yormazdı	TUR10-0899860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
söz	TUR10-0505340
haysiyetine	TUR10-0899970
dokundu	TUR10-0899970
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Göze	TUR10-0072340
bu	TUR10-0124500
kadar	TUR10-0124500
samimi	TUR10-0131780
ve	TUR10-0816400
sıcak	TUR10-0683820
haz	TUR10-0900020
veren	TUR10-0900020
bir	TUR10-0105580
mahluk	TUR10-0518540
çok	TUR10-0583380
zamandır	TUR10-0869550
görmemiştim	TUR10-0672700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hep	TUR10-0084000
hazırdan	TUR10-0900050
yiyor	TUR10-0327720
,	TUR10-0820240
içiyor	TUR10-0359860
,	TUR10-0820240
her	TUR10-0315620
gün	TUR10-0315620
Fatma	TUR10-0000000
Hanım'ın	TUR10-0326100
bin	TUR10-0105370
türlü	TUR10-0105510
bahanelerle	TUR10-0657350
parasını	TUR10-1116510
çekiyordu	TUR10-1116510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Günün	TUR10-0314940
bu	TUR10-0120760
son	TUR10-0701960
hazzını	TUR10-0900100
çıkarmadan	TUR10-0900100
ondan	TUR10-0588050
niçin	TUR10-0572520
vazgeçeriz	TUR10-0433620
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
işi	TUR10-0384050
onların	TUR10-0588290
yapmadığına	TUR10-1061090
inanıyor	TUR10-0372690
,	TUR10-0820240
birilerinin	TUR10-0107270
hedef	TUR10-0900165
saptırmaya	TUR10-0900165
çalıştığını	TUR10-0147850
söylüyor	TUR10-0191150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şimdi	TUR10-0241000
büyüklerinin	TUR10-0128880
ellerini	TUR10-1020100
öp	TUR10-1020100
de	TUR10-0994850
helallik	TUR10-0900210
dile	TUR10-0900210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Her	TUR10-0339330
kafadan	TUR10-0900260
bir	TUR10-0900260
ses	TUR10-0900260
çıkıyor	TUR10-0900260
,	TUR10-0820240
sen	TUR10-0676460
kazandın	TUR10-0435830
ben	TUR10-0092580
kazandım	TUR10-0435830
,	TUR10-0820240
şans	TUR10-0071410
deyip	TUR10-1242470
gülüşüyorlardı	TUR10-0313970
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Senin	TUR10-0676460
anlayacağın	TUR10-0037550
,	TUR10-0820240
her	TUR10-0339330
telden	TUR10-0900290
çalıyor	TUR10-0900290
benim	TUR10-0092580
çocuklar	TUR10-0280820
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gürültü	TUR10-0317290
de	TUR10-0994850
gürültü	TUR10-0317290
hani	TUR10-0326340
:	TUR10-0365770
Çalgının	TUR10-1214020
şamatası	TUR10-0430030
hesaba	TUR10-0900370
katılmasa	TUR10-0900370
seyircinin	TUR10-0682760
alkışı	TUR10-0028620
yeter	TUR10-0852070
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Meğer	TUR10-0000000
bizim	TUR10-0110290
Abdullah	TUR10-0000000
ve	TUR10-0816400
kardeşi	TUR10-0419140
et	TUR10-0256870
çalan	TUR10-0040380
bir	TUR10-0105580
kediyi	TUR10-0628940
cezalandırmak	TUR10-0900453
istemişler	TUR10-0048420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Acaba	TUR10-0504150
,	TUR10-0820240
bütün	TUR10-0585370
bu	TUR10-0120760
söylediklerinin	TUR10-0191150
altında	TUR10-0030070
bir	TUR10-0105580
takaza	TUR10-0739180
da	TUR10-0178920
var	TUR10-0540500
mı	TUR10-0558870
diye	TUR10-0211490
iyice	TUR10-0045380
tartıyorum	TUR10-0748240
,	TUR10-0820240
yok	TUR10-0858030
gibi	TUR10-0297510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
karanlık	TUR10-0517730
işlerin	TUR10-0799010
hesabını	TUR10-0900510
sorarlar	TUR10-0900517
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105910
aralık	TUR10-0105910
,	TUR10-0820240
büyük	TUR10-0028300
bir	TUR10-0105580
devlet	TUR10-0200150
adamı	TUR10-0200150
olmak	TUR10-0920140
hevesine	TUR10-0900590
düştüm	TUR10-0900590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ne	TUR10-0572460
zaman	TUR10-0869520
böyle	TUR10-0120030
büyük	TUR10-0128840
makineler	TUR10-0520700
görsem	TUR10-0672700
kolay	TUR10-0468150
kolay	TUR10-0468150
tarif	TUR10-1152560
edilemeyen	TUR10-1152560
bir	TUR10-0105580
heyecana	TUR10-0900670
kapıldığımı	TUR10-0900670
duyuyorum	TUR10-0750060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bizim	TUR10-0110290
gibi	TUR10-0297510
nice	TUR10-0105790
avareler	TUR10-0567830
burada	TUR10-0124750
hidayete	TUR10-0214150
ermişlerdir	TUR10-0251790
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ağlıyor	TUR10-0013990
,	TUR10-0820240
yırtınıyor	TUR10-0856190
,	TUR10-0820240
dövünüyor	TUR10-0223620
fakat	TUR10-0031730
adamakıllı	TUR10-0007380
yuvarlanmaya	TUR10-0864500
başladığım	TUR10-0082730
hissini	TUR10-0900850
veren	TUR10-0900850
bu	TUR10-0120750
hâlden	TUR10-0117240
silkinemiyorum	TUR10-0693190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
davaya	TUR10-0668820
en	TUR10-0246710
iyi	TUR10-0388960
hizmet	TUR10-0385770
etmiş	TUR10-0385770
olan	TUR10-0585900
benim	TUR10-0092580
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendisine	TUR10-0440770
büyük	TUR10-0128850
hizmeti	TUR10-0900930
dokunmuş	TUR10-0900930
insanları	TUR10-0932620
unutmak	TUR10-0799440
bir	TUR10-0105580
toplumun	TUR10-0878200
yozlaştığını	TUR10-0189270
belgeler	TUR10-0090830
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendisine	TUR10-0440770
her	TUR10-0084000
zaman	TUR10-0084000
huzur	TUR10-0901120
veren	TUR10-0901120
o	TUR10-0581470
kokuyu	TUR10-0467270
,	TUR10-0820240
anasının	TUR10-0813510
kokusunu	TUR10-1083090
duyar	TUR10-1083090
duymaz	TUR10-0750060
tatlı	TUR10-0751490
tatlı	TUR10-0751490
mırıldanmaya	TUR10-0543210
başladı	TUR10-0082730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yaş	TUR10-0693980
yine	TUR10-0106250
de	TUR10-0178920
tabii	TUR10-0028040
hükmünü	TUR10-0901190
icra	TUR10-0901190
ediyor	TUR10-0901190
,	TUR10-0820240
adaleleri	TUR10-0424410
gevşiyor	TUR10-0295490
ve	TUR10-0816400
eski	TUR10-0253240
canlılığını	TUR10-0131370
kaybediyordu	TUR10-0857020
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İnsanlar	TUR10-0932620
ellerinden	TUR10-0240850
çok	TUR10-1256850
gözleriyle	TUR10-0308060
hüküm	TUR10-0901250
verirler	TUR10-0901250
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hürmette	TUR10-0363870
kusur	TUR10-0908930
ettin	TUR10-0908930
mi	TUR10-0544040
işte	TUR10-0386590
o	TUR10-0581480
zaman	TUR10-0869520
kendini	TUR10-0440770
yok	TUR10-0858030
bil	TUR10-0104510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Allah'ın	TUR10-0000000
bildiğini	TUR10-0104510
kuldan	TUR10-0000760
ne	TUR10-0572460
saklamalı	TUR10-0658790
,	TUR10-0820240
ilk	TUR10-0369680
önce	TUR10-0369680
aklımdan	TUR10-0098050
bazı	TUR10-0087530
çirkin	TUR10-0169670
şüpheler	TUR10-0259620
geçer	TUR10-0286970
gibi	TUR10-0221670
olmuştu	TUR10-0221670
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bedenleriyle	TUR10-0088580
ilgili	TUR10-0565860
gerçekleri	TUR10-0049280
ıska	TUR10-0354340
geçerler	TUR10-0286970
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ben	TUR10-0092580
durup	TUR10-0226250
dururken	TUR10-0226250
ıspazmoza	TUR10-0901520
tutulmuş	TUR10-0901520
gibi	TUR10-0297510
titredikten	TUR10-1056360
sonra	TUR10-0565820
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gökalp	TUR10-0000000
,	TUR10-0820240
bu	TUR10-0120760
odada	TUR10-0582130
her	TUR10-0315620
gün	TUR10-0315620
yeni	TUR10-0848720
bir	TUR10-0105580
konuya	TUR10-0679150
