<DOC>	<DOC>+BDTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bizden	TUR10-0110420
yırtıcı	TUR10-0855940
kuş	TUR10-0855940
,	TUR10-0820240
o	TUR10-0607190
yolda	TUR10-0607190
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gelgelelim	TUR10-0289550
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
1683'te	TUR10-0000010
,	TUR10-0820240
fetihlerini	TUR10-0269430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
rikkatli	TUR10-0647680
,	TUR10-0820240
hassasiyetli	TUR10-1045330
ve	TUR10-0816400
hikmetli	TUR10-0344640
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
mecmuadaki	TUR10-0127870
yüksek	TUR10-1198470
sesle	TUR10-1198470
okurken	TUR10-1198470
ve	TUR10-0816400
rindane	TUR10-0647750
zevkine	TUR10-0900100
varıyorum	TUR10-0900100
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
ritmi	TUR10-0647870
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Öğleden	TUR10-1241810
sonra	TUR10-1241810
ve	TUR10-0816400
üst	TUR10-0810130
katındaki	TUR10-0810130
bizzat	TUR10-0110550
riyaset	TUR10-0648060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
ve	TUR10-0816400
şehri	TUR10-0441470
riyasız	TUR10-0648070
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Robalı	TUR10-0648170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
çok	TUR10-1256850
ciddiyetle	TUR10-0812890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
hayalî	TUR10-0416030
,	TUR10-0820240
hissî	TUR10-0346280
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gazetecilikten	TUR10-0285410
hocalığa	TUR10-0346850
,	TUR10-0820240
siyasetçilikten	TUR10-0697620
romancılığa	TUR10-0648550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Victor	TUR10-0000000
Hugo'yu	TUR10-0000000
;	TUR10-0579400
epeyi	TUR10-0064910
,	TUR10-0820240
kolay	TUR10-0079300
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İlk	TUR10-0369130
çarpan	TUR10-0151640
,	TUR10-0820240
pembe	TUR10-0622230
,	TUR10-0820240
,	TUR10-0820240
roptu	TUR10-0648830
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
eliyle	TUR10-0815420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Traktörün	TUR10-0785810
römorkun	TUR10-0649160
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Romancı	TUR10-0648540
röportör	TUR10-0649310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yağmurlu	TUR10-0825340
,	TUR10-0820240
rugan	TUR10-0649560
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Muhterem	TUR10-0554330
patrik	TUR10-0619240
,	TUR10-0820240
emîre	TUR10-0097310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
herkesin	TUR10-0545590
ve	TUR10-0816400
ruh	TUR10-0649980
sağlığı	TUR10-0649980
.	TUR10-1081860
planlayıp	TUR10-0630890
hizmet	TUR10-1208950
vermesini	TUR10-1208950
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
hakikaten	TUR10-0272990
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
belgeler	TUR10-0090830
orada	TUR10-0589400
,	TUR10-0820240
telaşla	TUR10-1157390
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
raflarda	TUR10-0640930
el	TUR10-0244870
yazmaları	TUR10-0244870
,	TUR10-0820240
parşömenler	TUR10-0616450
ve	TUR10-0816400
harita	TUR10-0329050
vardı	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
vurdumduymaz	TUR10-1014080
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fakat	TUR10-0031730
rustai	TUR10-0650690
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
mahkeme	TUR10-0518350
kapısına	TUR10-0518350
,	TUR10-0820240
,	TUR10-0820240
,	TUR10-0820240
kayıp	TUR10-0871470
;	TUR10-0579400
,	TUR10-0820240
,	TUR10-0820240
,	TUR10-0820240
mavzerle	TUR10-0529820
ruzikleniriz	TUR10-0650860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
sorumlu	TUR10-0538540
ilgili	TUR10-0565860
rücu	TUR10-0650950
hakkı	TUR10-0650950
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
rütbeli	TUR10-0651230
subay	TUR10-0710260
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Saadet	TUR10-0651550
zincirinin	TUR10-0651550
bizden	TUR10-0110420
sonraki	TUR10-0551710
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
meyus	TUR10-1099220
olmayarak	TUR10-1099220
gene	TUR10-0391400
perdelerini	TUR10-1118950
açtılar	TUR10-1118950
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Burada	TUR10-0124750
her	TUR10-0339330
sonunda	TUR10-0120120
uzun	TUR10-0651750
uzadıya	TUR10-0651750
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
gözdağının	TUR10-0476030
sabahki	TUR10-0652000
ilintili	TUR10-0368780
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
tembihledi	TUR10-1157860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
iş	TUR10-1061550
kaldı	TUR10-1061550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
daha	TUR10-0995340
da	TUR10-0995340
güçtür	TUR10-1246030
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
telafi	TUR10-1157280
etmek	TUR10-1157280
ve	TUR10-0816400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
orada	TUR10-0589400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
türlü	TUR10-0160520
,	TUR10-0820240
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
darağacının	TUR10-0673780
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ruhsar	TUR10-0000000
,	TUR10-0820240
,	TUR10-0820240
sadece	TUR10-0661420
el	TUR10-0557810
beziyle	TUR10-0557810
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
kez	TUR10-0186930
beyazsa	TUR10-0097430
ilk	TUR10-0369130
kez	TUR10-0186930
bembeyazdı	TUR10-0719310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
bekçisi	TUR10-0089530
,	TUR10-0820240
hâlâ	TUR10-0178850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Oraya	TUR10-0589890
sulara	TUR10-1142040
basarak	TUR10-1142040
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
olacak	TUR10-0584890
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
su	TUR10-1142340
dökülen	TUR10-1142340
sade	TUR10-0653940
kahve	TUR10-0653940
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Senin	TUR10-0676460
bu	TUR10-0124500
kadar	TUR10-0124500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
,	TUR10-0820240
sigorta	TUR10-0691580
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
,	TUR10-0820240
istiklalini	TUR10-0068900
maruz	TUR10-1095800
bırakamaz	TUR10-1095800
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Zaten	TUR10-0252350
değildi	TUR10-0187890
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Aliş	TUR10-0000000
mı	TUR10-0558870
yoksa	TUR10-0858360
mu	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
gayret	TUR10-1191580
göstermiyorsun	TUR10-1191580
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
sağ	TUR10-0655310
haf	TUR10-0655310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yılan	TUR10-0805590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
soba	TUR10-0698510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kulakları	TUR10-0655580
duvar	TUR10-0655580
olan	TUR10-0655580
avaz	TUR10-0945550
avaz	TUR10-0945550
kurmaya	TUR10-0251020
üşenmişler	TUR10-0877640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
iyi	TUR10-0655680
niyetine	TUR10-0655680
rağmen	TUR10-0641140
türlü	TUR10-0160520
imkân	TUR10-0371420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
eşya	TUR10-0256750
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
çeltikçiler	TUR10-0158450
,	TUR10-0820240
sağlıcakla	TUR10-0656040
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
az	TUR10-1247530
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İpek	TUR10-0377560
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
iyice	TUR10-0686070
avucunun	TUR10-0945820
içine	TUR10-0945820
alıp	TUR10-0945820
sağmal	TUR10-0656410
inek	TUR10-0656410
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
bakır	TUR10-0072140
tarhana	TUR10-0746940
çorbası	TUR10-0746940
vardı	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sahi	TUR10-0656680
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
kere	TUR10-0186930
sahiden	TUR10-0656710
mu	TUR10-0558870
,	TUR10-0820240
uykusu	TUR10-1168880
ağırdır	TUR10-1168880
ve	TUR10-0816400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
bidayette	TUR10-0298480
,	TUR10-0820240
tamamen	TUR10-0128280
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Merdivenin	TUR10-0951300
paravanın	TUR10-0614720
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Her	TUR10-0339330
,	TUR10-0820240
,	TUR10-0820240
ve	TUR10-0816400
sahneleme	TUR10-0657090
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
bir	TUR10-1222130
şey	TUR10-1222130
otelin	TUR10-0593590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Her	TUR10-0339330
medeniyet	TUR10-0531950
sebeplerini	TUR10-0657350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
afakı	TUR10-0161700
!	TUR10-0808050
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
şurada	TUR10-0734380
otuzar	TUR10-0595170
,	TUR10-0820240
kırkar	TUR10-0451530
,	TUR10-0820240
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
askerim	TUR10-0050120
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
sakınca	TUR10-0657990
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
,	TUR10-0820240
,	TUR10-0820240
,	TUR10-0820240
sakır	TUR10-0658190
sakır	TUR10-0658190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
kristal	TUR10-0486490
sürahi	TUR10-0716430
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sesi	TUR10-0807820
dinlediği	TUR10-0207330
müddetçe	TUR10-0716660
sakin	TUR10-0658530
ve	TUR10-0816400
uslu	TUR10-1156550
duruyordu	TUR10-1156550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Annen	TUR10-0813510
sakinleşti	TUR10-0658620
,	TUR10-0820240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sarayın	TUR10-0665380
bir	TUR10-0105590
kederli	TUR10-0437690
muammayı	TUR10-0104500
saklar	TUR10-0658760
gibi	TUR10-0297510
ağırdı	TUR10-0012100
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eti	TUR10-0256870
buzdolabında	TUR10-1212080
saklamak	TUR10-0658810
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
kitabı	TUR10-0463990
size	TUR10-0697860
sakladım	TUR10-0658810
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Güneş	TUR10-0315720
ise	TUR10-1194520
afacan	TUR10-1247160
bir	TUR10-0105570
çocuk	TUR10-0892320
gibi	TUR10-0892320
bulutlarla	TUR10-0124000
saklambaç	TUR10-0658820
oynuyor	TUR10-0596470
,	TUR10-0820240
bir	TUR10-0108650
kaybolup	TUR10-0085500
bir	TUR10-0108650
gözüküyordu	TUR10-1242650
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Saklı	TUR10-0533190
,	TUR10-0820240
gizli	TUR10-0306210
demektir	TUR10-0921020
;	TUR10-0579400
sır	TUR10-0687780
manasına	TUR10-0813640
da	TUR10-0994790
gelir	TUR10-0289940
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
saklı	TUR10-0658950
hiçbir	TUR10-0343540
işleri	TUR10-0384100
yoktur	TUR10-0732000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yaz	TUR10-0845100
kış	TUR10-0845100
yeşil	TUR10-0851640
,	TUR10-0820240
bir	TUR10-0105660
saksı	TUR10-0659050
ıtır	TUR10-0356490
pencerede	TUR10-0622420
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kral	TUR10-0485560
,	TUR10-0820240
meclis	TUR10-0531490
kararlarını	TUR10-0417650
reddetmeye	TUR10-0643980
mi	TUR10-0544040
,	TUR10-0820240
erteletmeye	TUR10-1156400
mi	TUR10-0544040
salahiyetli	TUR10-0659210
olacak	TUR10-0586000
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
.	TUR10-1081860
meze	TUR10-0542330
tabağını	TUR10-0735280
hazırlamıştır	TUR10-0336880
bile	TUR10-0810040
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Zeytin	TUR10-0873600
salamuracılığı	TUR10-0659390
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fakat	TUR10-0031730
kotranın	TUR10-0478360
altındaki	TUR10-0030070
safra	TUR10-0654700
onu	TUR10-0581470
kurtarır	TUR10-0493740
da	TUR10-0994830
safrasız	TUR10-0654700
salapurya	TUR10-0659430
birdenbire	TUR10-0040320
alabora	TUR10-0023180
oluverir	TUR10-0585900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yalnız	TUR10-0355170
belinden	TUR10-0090080
fazla	TUR10-0895210
olarak	TUR10-0895210
murdar	TUR10-0556330
bir	TUR10-0105550
salaşpur	TUR10-0659460
sarkıyor	TUR10-0667030
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Babası	TUR10-0066140
küçük	TUR10-0143230
bostanda	TUR10-0114570
yere	TUR10-0427120
eğilmiş	TUR10-0236330
,	TUR10-0820240
salatalıkları	TUR10-0659500
koparıyor	TUR10-1182860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Biber	TUR10-0100700
salçası	TUR10-0100700
.	TUR10-1081860
domates	TUR10-0217700
salçası	TUR10-0217700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hele	TUR10-0338210
kendini	TUR10-0440800
güçlü	TUR10-0730890
hissederse	TUR10-0346230
tetik	TUR10-1160700
ol	TUR10-1160700
,	TUR10-0820240
basbayağı	TUR10-0078760
saldırganlaşır	TUR10-0659710
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hele	TUR10-0338210
Üsküdar	TUR10-1170670
gibi	TUR10-0297510
bıçkını	TUR10-0501360
fazla	TUR10-0266490
semtlerde	TUR10-0825810
on	TUR10-1206100
çocuktan	TUR10-0171720
üç	TUR10-1206040
dördünde	TUR10-0837340
bir	TUR10-0105590
bıçak	TUR10-0099440
,	TUR10-0820240
bir	TUR10-0105550
sustalı	TUR10-0713740
,	TUR10-0820240
bir	TUR10-0105550
usturpa	TUR10-0800530
hatta	TUR10-0332120
bir	TUR10-0105550
saldırma	TUR10-1155640
bulunurdu	TUR10-0123800
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Asitler	TUR10-0324840
madenlere	TUR10-0516410
saldırır	TUR10-1155640
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
salepçinin	TUR10-0659950
kalaylı	TUR10-0401610
güğümü	TUR10-0313090
tütüyordu	TUR10-0794410
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çekirge	TUR10-0156920
salgını	TUR10-0660100
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Salıncakçının	TUR10-0660210
oğlu	TUR10-0817130
herkese	TUR10-0545590
göz	TUR10-0308060
kulak	TUR10-1036280
oluyordu	TUR10-0586000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Vücudu	TUR10-0236430
o	TUR10-0583390
kadar	TUR10-0395910
narindi	TUR10-0576040
ki	TUR10-0459850
hafif	TUR10-1042930
rüzgârlarla	TUR10-1042930
sallanan	TUR10-0667940
salkım	TUR10-1235250
söğütler	TUR10-1235250
gibi	TUR10-0297510
oradan	TUR10-1109850
oraya	TUR10-1109850
salınıyor	TUR10-0660290
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Canını	TUR10-0131390
kurtarıp	TUR10-0493720
salimen	TUR10-0660440
bugünlere	TUR10-0121310
ulaşabildiği	TUR10-0129560
kendisini	TUR10-0440790
şanslı	TUR10-0071470
sayardı	TUR10-1017840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Salisilatlar	TUR10-0660500
romatizmanın	TUR10-0648790
tedavisinde	TUR10-0755730
kullanılır	TUR10-0489340
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Pahada	TUR10-0276130
ve	TUR10-0816400
okkada	TUR10-0583500
salkım	TUR10-0660660
salkım	TUR10-0660620
küpeler	TUR10-0660620
,	TUR10-0820240
ağızda	TUR10-0013290
kenarlara	TUR10-0440590
doğru	TUR10-0213640
altın	TUR10-0030560
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Seçimlerde	TUR10-0377140
Ankara'yı	TUR10-0000000
salladı	TUR10-0667940
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Beklenen	TUR10-0089620
cevap	TUR10-0831830
gelince	TUR10-0185910
derhâl	TUR10-0338840
yazılacağı	TUR10-0298880
tabiidir	TUR10-0736170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tabii	TUR10-0736150
meyve	TUR10-0542040
suları	TUR10-0542040
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
adamın	TUR10-0932620
milliyeti	TUR10-0545910
nedir	TUR10-0572460
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hekim	TUR10-0736370
hastasına	TUR10-0526210
ve	TUR10-0816400
çevresine	TUR10-0161490
karşı	TUR10-0422900
sorumludur	TUR10-0538540
,	TUR10-0820240
mesleğe	TUR10-0538220
ancak	TUR10-0035990
içerek	TUR10-0359860
girebilir	TUR10-0370430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105580
tablasında	TUR10-0736440
üstlerine	TUR10-0811620
vuran	TUR10-0821980
güneş	TUR10-0060900
ışığıyla	TUR10-0060900
parıldayan	TUR10-0615310
hurmalara	TUR10-0350190
imrenmiş	TUR10-0371760
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Fesi	TUR10-0269130
hele	TUR10-0338200
fesi	TUR10-0269130
,	TUR10-0820240
başlı	TUR10-0082990
başına	TUR10-0082990
bir	TUR10-0105800
âlem	TUR10-0105800
;	TUR10-0579400
tablalı	TUR10-0501600
değil	TUR10-0187890
,	TUR10-0820240
dar	TUR10-0248410
Beyoğlu	TUR10-0964690
kalıp	TUR10-0403720
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çarpım	TUR10-0151950
tablosu	TUR10-0151950
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mahalle	TUR10-0517750
camisinin	TUR10-0131080
çıkarak	TUR10-0880110
kaçmaktayken	TUR10-0298730
peşlerine	TUR10-0625000
düşülür	TUR10-0008700
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eskiden	TUR10-0969890
Alman	TUR10-0029620
kayzerlerinin	TUR10-0435340
taç	TUR10-0736990
giyme	TUR10-0736990
töreni	TUR10-0736990
Frankfurt'ta	TUR10-1227010
yapılırdı	TUR10-0834430
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Doyumluk	TUR10-0219520
değil	TUR10-0187890
tadımlık	TUR10-0737170
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0970440
süre	TUR10-0716660
yakayı	TUR10-1175830
ele	TUR10-1175830
vermemenin	TUR10-1175830
tafrasıyla	TUR10-0737230
dolaşmak	TUR10-0216550
,	TUR10-0820240
bir	TUR10-0105580
beceri	TUR10-0088020
örneği	TUR10-0605170
değil	TUR10-0187890
mi	TUR10-0544040
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Belediye	TUR10-0090390
bu	TUR10-0120760
tahaccümün	TUR10-0737360
önüne	TUR10-0027580
geçebilmek	TUR10-0027580
için	TUR10-0359030
'	TUR10-0759880
sevgi	TUR10-0405460
yumağı	TUR10-0862080
projesi'ni	TUR10-0636460
hayata	TUR10-1197350
geçiriyor	TUR10-1197350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
iptidai	TUR10-0378190
dişi	TUR10-0205020
hassasiyetinin	TUR10-0226870
cazip	TUR10-0870920
ve	TUR10-0816400
tahammülfersa	TUR10-0737460
taraflarını	TUR10-0745960
zihnimde	TUR10-0331710
ayırmaya	TUR10-0061650
başladım	TUR10-0082730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tahkikatın	TUR10-0737850
neticesinden	TUR10-0575430
beni	TUR10-0092580
de	TUR10-0178920
malumattar	TUR10-0522690
ediniz	TUR10-0522690
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Evin	TUR10-0016320
tahliyesi	TUR10-0738040
iki	TUR10-0364800
gün	TUR10-0314950
sürdü	TUR10-1242730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
O	TUR10-0581470
yıkıcı	TUR10-0738380
bozgunun	TUR10-0117630
sebeplerini	TUR10-0657350
öğrenmeye	TUR10-0227360
büyük	TUR10-0128860
önem	TUR10-1017840
verdi	TUR10-1017840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bize	TUR10-0110290
tahriren	TUR10-0738420
verdiği	TUR10-0515000
imzalı	TUR10-0372200
cevabında	TUR10-0831830
,	TUR10-0820240
vapurun	TUR10-0813860
limandan	TUR10-0511500
çıkmasına	TUR10-0880110
kadar	TUR10-0395910
alıkoymamızın	TUR10-0027580
,	TUR10-0820240
hayatını	TUR10-0131360
kurtarabileceğini	TUR10-0493750
söyledi	TUR10-0191150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tahtaları	TUR10-0738620
oynattığında	TUR10-0448830
üzerine	TUR10-0811720
topraklar	TUR10-0415100
dökülmeye	TUR10-0220230
başladı	TUR10-0082730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yeni	TUR10-0848690
silinmiş	TUR10-0692900
tahtalar	TUR10-0418360
birkaç	TUR10-0096000
saniye	TUR10-0663470
içinde	TUR10-0359140
berbat	TUR10-0085460
oldu	TUR10-0085460
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şiir	TUR10-0525650
,	TUR10-0820240
bizim	TUR10-0110290
tahteşşuurumuzdan	TUR10-0738880
şuurumuz	TUR10-0103720
vasıtasıyla	TUR10-0815420
çıkarıp	TUR10-0162910
ortaya	TUR10-1110630
koyduğumuz	TUR10-1110630
,	TUR10-0820240
birçok	TUR10-0105790
süzgeçlerden	TUR10-0720190
geçmiş	TUR10-0288510
,	TUR10-0820240
süzülmüş	TUR10-0019890
bir	TUR10-1222130
şeydir	TUR10-1222130
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Taka	TUR10-0738950
ile	TUR10-0367360
deniz	TUR10-0193590
yolculuğunun	TUR10-0858910
nasıl	TUR10-0571050
geçtiğini	TUR10-0288360
anlatmayacağım	TUR10-0038210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Acaba	TUR10-0504150
,	TUR10-0820240
